iter	Logloss
0	0.6873331291
1	0.681958109
2	0.6764770511
3	0.671293028
4	0.6676756525
5	0.663078209
6	0.659012299
7	0.6552133649
8	0.6517435906
9	0.6468429658
10	0.6439606706
11	0.6422142472
12	0.6388780038
13	0.6363753449
14	0.6322716353
15	0.6297258572
16	0.6272177234
17	0.6248313389
18	0.6224585442
19	0.6191745678
20	0.617144759
21	0.615433189
22	0.6137379835
23	0.6112191259
24	0.6077555274
25	0.6064192589
26	0.6045432367
27	0.6034328364
28	0.6014971494
29	0.6002553741
30	0.5986781181
31	0.5971522776
32	0.5962168861
33	0.5949819525
34	0.5935770262
35	0.5926040726
36	0.5914717821
37	0.5905668518
38	0.5900577603
39	0.5890579102
40	0.5878988116
41	0.5866104401
42	0.5855142161
43	0.5844353058
44	0.5827056994
45	0.5819193555
46	0.5811189405
47	0.5801394782
48	0.5795302346
49	0.5788834258
50	0.5778333708
51	0.5765517713
52	0.5756424772
53	0.574220465
54	0.5736474647
55	0.5730337071
56	0.5724485765
57	0.5714830962
58	0.5705535529
59	0.5698217049
60	0.5690577291
61	0.5681492868
62	0.5671449856
63	0.5664977649
64	0.5656735006
65	0.5649394384
66	0.5640897951
67	0.5635152897
68	0.5628669586
69	0.5613916445
70	0.5607088267
71	0.5598664479
72	0.5592708171
73	0.5586315209
74	0.5584769541
75	0.5577754982
76	0.5566349457
77	0.5561845386
78	0.5555665476
79	0.5549643194
80	0.5540084546
81	0.5534941428
82	0.5530689542
83	0.552717009
84	0.5519644599
85	0.5510772457
86	0.5503212875
87	0.5493774131
88	0.5486160773
89	0.5476043211
90	0.5469170208
91	0.5461491684
92	0.5453508812
93	0.544619732
94	0.5436514072
95	0.5429876457
96	0.5425930338
97	0.5417709549
98	0.5412115037
99	0.5406004676
100	0.5400900968
101	0.5396824214
102	0.5388382392
103	0.5381177518
104	0.5377381351
105	0.5370373016
106	0.5365711402
107	0.5362031412
108	0.5358991694
109	0.5352588657
110	0.5347332971
111	0.5340352588
112	0.5331167206
113	0.5323340206
114	0.5320386753
115	0.5316302204
116	0.5312163139
117	0.5309260582
118	0.5304745413
119	0.5300515705
120	0.529319884
121	0.5289308898
122	0.5283811515
123	0.5279474477
124	0.5276396398
125	0.5272739317
126	0.5268536861
127	0.5264553719
128	0.5261872072
129	0.5256916237
130	0.525229682
131	0.5248045165
132	0.5240958335
133	0.5234977534
134	0.5229560761
135	0.5226010943
136	0.5221510413
137	0.5216193477
138	0.5213191453
139	0.5209710648
140	0.5208193211
141	0.5206058457
142	0.5202723854
143	0.5198633531
144	0.5195444145
145	0.5192805037
146	0.5190366839
147	0.5184212711
148	0.5182788636
149	0.5178621479
150	0.5175784229
151	0.5172960804
152	0.5169793102
153	0.5167021214
154	0.5164422203
155	0.516052376
156	0.5156155866
157	0.5152697828
158	0.5147629521
159	0.5144568343
160	0.5141788236
161	0.5140213884
162	0.5134397227
163	0.5127373733
164	0.5123191063
165	0.5118458343
166	0.5114683178
167	0.5111976502
168	0.5107741329
169	0.5103807259
170	0.509993141
171	0.5096112849
172	0.5090767555
173	0.5084560665
174	0.5081715806
175	0.5077736234
176	0.5072796062
177	0.5068251403
178	0.5064563148
179	0.5061251899
180	0.5057383572
181	0.5054258658
182	0.5048840593
183	0.5045040298
184	0.5042884736
185	0.503869124
186	0.5034981555
187	0.5033113081
188	0.5029923872
189	0.5028852489
190	0.5024198618
191	0.5020606819
192	0.5017383362
193	0.5013656913
194	0.5010716105
195	0.5008717893
196	0.5004524599
197	0.500071341
198	0.4998364282
199	0.4994135286
200	0.4989545628
201	0.4987178825
202	0.4983770467
203	0.4980117221
204	0.4977803526
205	0.4975344313
206	0.4973149253
207	0.496870409
208	0.4962792231
209	0.4958635354
210	0.4955125027
211	0.4951376855
212	0.4948520429
213	0.4946275205
214	0.4942419495
215	0.4940223709
216	0.4938632365
217	0.4931854268
218	0.4930511601
219	0.4924126509
220	0.4920368932
221	0.4915500888
222	0.4912967751
223	0.491139477
224	0.4907075456
225	0.4904746208
226	0.4903031489
227	0.4901366998
228	0.4899010253
229	0.4895654793
230	0.4890885762
231	0.4890555703
232	0.4886363085
233	0.4883434738
234	0.4881061297
235	0.4878004084
236	0.487512777
237	0.4871362377
238	0.486803608
239	0.4865407599
240	0.486163126
241	0.4858124117
242	0.485497128
243	0.4852279252
244	0.4849904823
245	0.4847490684
246	0.4844524587
247	0.4840360177
248	0.483825317
249	0.4835889821
250	0.4832207456
251	0.4828070687
252	0.4826005024
253	0.4822033208
254	0.4820990793
255	0.481714323
256	0.4814009967
257	0.4810204386
258	0.4806781328
259	0.4803133521
260	0.4798958487
261	0.4795881823
262	0.4793543512
263	0.4790825069
264	0.4787139608
265	0.4783819697
266	0.4780690051
267	0.477868285
268	0.4776943867
269	0.4773648233
270	0.4770743683
271	0.4768802352
272	0.4765545413
273	0.4762567649
274	0.4758771291
275	0.4756202139
276	0.4753347722
277	0.4749651328
278	0.4746316909
279	0.4741876415
280	0.4736597527
281	0.4734798644
282	0.4732359281
283	0.4727228045
284	0.4725196201
285	0.4722929496
286	0.4719521961
287	0.4717750465
288	0.471507127
289	0.4710900265
290	0.4708531903
291	0.4705887529
292	0.4702526055
293	0.4701381459
294	0.4696859541
295	0.4693505144
296	0.46903018
297	0.468813996
298	0.4685480687
299	0.4682528562
300	0.4679304742
301	0.4676631635
302	0.4673738792
303	0.4669286566
304	0.4665228343
305	0.4663395547
306	0.465979668
307	0.4656697081
308	0.4653087061
309	0.4650654794
310	0.4647231516
311	0.4644712501
312	0.4643159619
313	0.4639892108
314	0.4636859327
315	0.4633293236
316	0.4630340509
317	0.4627895019
318	0.4624853679
319	0.462211693
320	0.4619503044
321	0.4618079649
322	0.4616682283
323	0.4613813533
324	0.4610790047
325	0.4609727292
326	0.4606500846
327	0.4602281895
328	0.459974442
329	0.4596401263
330	0.4593823775
331	0.4590349463
332	0.458721846
333	0.4584301697
334	0.4580937959
335	0.4578462136
336	0.4575789808
337	0.4574130105
338	0.4573044638
339	0.4571812519
340	0.4569501041
341	0.4567100137
342	0.4563927226
343	0.4561662962
344	0.4557909585
345	0.4555264591
346	0.4553403394
347	0.4551806037
348	0.4550558455
349	0.4548251932
350	0.4544623578
351	0.4543745912
352	0.454023467
353	0.4536878603
354	0.453449673
355	0.4531350409
356	0.4528455738
357	0.4526505137
358	0.4524085046
359	0.4520742658
360	0.4518370715
361	0.451626598
362	0.4513237948
363	0.451014074
364	0.450680971
365	0.4504375576
366	0.450325455
367	0.449964045
368	0.449850092
369	0.4495302254
370	0.4494147328
371	0.4491651117
372	0.4489971207
373	0.4487918815
374	0.4486052398
375	0.4485220339
376	0.4480777449
377	0.4478255324
378	0.4476246791
379	0.4474584521
380	0.4472313972
381	0.4470040009
382	0.4467679717
383	0.4466723332
384	0.4465529461
385	0.4462710623
386	0.4459629059
387	0.445733187
388	0.4455541977
389	0.4454773822
390	0.4451538208
391	0.4449737966
392	0.4448049393
393	0.4445264032
394	0.4442727725
395	0.4439429983
396	0.4437180741
397	0.4435319857
398	0.4433659135
399	0.4431164171
400	0.4429404222
401	0.4427067211
402	0.4426062982
403	0.4423323979
404	0.4421195159
405	0.4419621914
406	0.4418679109
407	0.4417722884
408	0.4415500717
409	0.4413261082
410	0.4412550258
411	0.4409925023
412	0.4407658637
413	0.4406251153
414	0.4405623353
415	0.4402816485
416	0.4401528744
417	0.4399862512
418	0.439771023
419	0.4395009471
420	0.4393126562
421	0.4391294666
422	0.4389767392
423	0.4387391472
424	0.4386822806
425	0.438381936
426	0.4381610914
427	0.4378207123
428	0.4373482828
429	0.4372641853
430	0.4370301552
431	0.4369550875
432	0.4366171382
433	0.4362987597
434	0.4360879112
435	0.4358835764
436	0.4357399185
437	0.4354323269
438	0.4352363622
439	0.4349983461
440	0.4347545292
441	0.4344235028
442	0.4342222069
443	0.4340098886
444	0.4338530456
445	0.4335987377
446	0.4335188777
447	0.4333855953
448	0.433153823
449	0.4327384146
450	0.4325680024
451	0.4323705274
452	0.4321186952
453	0.4319485483
454	0.4316869476
455	0.4315067171
456	0.4313785573
457	0.4312884161
458	0.4312128619
459	0.4310522195
460	0.4308452839
461	0.4307592597
462	0.4305604384
463	0.430440443
464	0.4301573105
465	0.4299912423
466	0.4298282643
467	0.4295126539
468	0.429281362
469	0.429064988
470	0.4289476685
471	0.4287797323
472	0.4286021045
473	0.4283748767
474	0.42832769
475	0.4281605636
476	0.4280070595
477	0.4278078841
478	0.427686906
479	0.4275550661
480	0.4273859639
481	0.4271840599
482	0.427146219
483	0.4268665789
484	0.4267863269
485	0.4266444764
486	0.4265320129
487	0.4263455692
488	0.4262919935
489	0.4261153396
490	0.425871337
491	0.42574201
492	0.4256424542
493	0.4255341475
494	0.4253925121
495	0.4251829197
496	0.4250866247
497	0.4249881955
