iter	Passed	Remaining
409	4339	6243
410	4348	6231
411	4358	6220
412	4368	6209
413	4378	6197
414	4388	6185
415	4397	6173
416	4407	6161
417	4416	6149
418	4426	6137
419	4436	6126
420	4445	6114
421	4455	6103
422	4465	6091
423	4474	6079
424	4484	6067
425	4493	6055
426	4503	6043
427	4513	6031
428	4523	6020
429	4533	6008
430	4543	5997
431	4552	5985
432	4562	5975
433	4572	5963
434	4582	5952
435	4593	5942
436	4603	5931
437	4614	5921
438	4625	5911
439	4637	5902
440	4648	5892
441	4660	5883
442	4670	5872
443	4680	5860
444	4690	5849
445	4700	5839
446	4710	5827
447	4719	5815
448	4730	5804
449	4739	5793
450	4749	5781
451	4759	5770
452	4769	5759
453	4779	5748
454	4789	5736
455	4798	5724
456	4808	5712
457	4818	5701
458	4828	5690
459	4838	5679
460	4847	5667
461	4856	5655
462	4866	5644
463	4876	5632
464	4886	5621
465	4895	5610
466	4905	5598
467	4915	5587
468	4925	5576
469	4935	5565
470	4945	5554
471	4954	5542
472	4964	5530
473	4973	5519
474	4982	5506
475	4992	5495
476	5002	5484
477	5011	5473
478	5021	5462
479	5030	5449
480	5040	5438
481	5050	5427
482	5059	5415
483	5068	5403
484	5077	5391
485	5087	5380
486	5096	5368
487	5106	5357
488	5115	5345
489	5124	5334
490	5135	5323
491	5144	5312
492	5154	5300
493	5163	5289
494	5173	5277
495	5183	5267
496	5193	5256
497	5203	5245
498	5213	5234
499	5222	5222
500	5231	5210
501	5241	5199
502	5251	5189
503	5261	5178
504	5271	5166
505	5281	5155
506	5290	5144
507	5300	5133
508	5309	5121
509	5318	5110
510	5328	5099
511	5337	5087
512	5348	5077
513	5357	5065
514	5367	5054
515	5377	5043
516	5386	5032
517	5397	5021
518	5407	5011
519	5416	5000
520	5426	4989
521	5435	4977
522	5445	4966
523	5456	4956
524	5466	4946
525	5476	4934
526	5485	4923
527	5495	4912
528	5504	4901
529	5514	4890
530	5524	4879
531	5533	4867
532	5543	4856
533	5552	4845
534	5564	4836
535	5573	4825
536	5584	4815
537	5595	4805
538	5606	4795
539	5617	4785
540	5628	4775
541	5639	4765
542	5648	4754
543	5658	4743
544	5669	4732
545	5678	4721
546	5688	4710
547	5698	4699
548	5707	4688
549	5717	4677
550	5726	4666
551	5736	4655
552	5747	4646
553	5757	4635
554	5767	4624
555	5776	4613
556	5786	4602
557	5796	4591
558	5808	4582
559	5818	4571
560	5827	4560
561	5838	4550
562	5848	4539
563	5857	4528
564	5867	4517
565	5876	4506
566	5886	4495
567	5896	4484
568	5905	4473
569	5915	4462
570	5924	4451
571	5934	4440
572	5943	4429
573	5953	4418
574	5962	4407
575	5971	4395
576	5981	4384
577	5990	4373
578	6000	4363
579	6010	4352
580	6020	4341
581	6029	4330
582	6039	4319
583	6049	4309
584	6057	4297
585	6067	4286
586	6076	4275
587	6086	4264
588	6095	4253
589	6105	4243
590	6115	4232
591	6125	4221
592	6135	4211
593	6146	4201
594	6156	4190
595	6166	4180
596	6177	4169
597	6187	4159
598	6197	4148
599	6206	4137
600	6216	4126
601	6225	4115
602	6235	4105
603	6244	4094
604	6254	4083
605	6264	4072
606	6274	4062
607	6283	4051
608	6292	4039
609	6301	4028
610	6311	4018
611	6320	4007
612	6329	3996
613	6339	3985
614	6348	3974
615	6357	3963
616	6366	3952
617	6376	3941
618	6385	3930
619	6395	3919
620	6405	3909
621	6414	3898
622	6424	3887
623	6434	3876
624	6443	3866
625	6452	3855
626	6462	3844
627	6472	3834
628	6482	3823
629	6491	3812
630	6501	3802
631	6511	3791
632	6521	3780
633	6531	3770
634	6540	3759
635	6550	3748
636	6560	3738
637	6571	3728
638	6582	3718
639	6592	3708
640	6603	3698
641	6613	3687
642	6622	3677
643	6632	3666
644	6642	3655
645	6652	3645
646	6662	3635
647	6671	3624
648	6681	3613
649	6691	3603
650	6702	3593
651	6711	3582
652	6721	3571
653	6733	3562
654	6743	3551
655	6752	3541
656	6761	3530
657	6771	3519
658	6781	3509
659	6792	3499
660	6802	3488
661	6811	3477
662	6820	3467
663	6830	3456
664	6840	3445
665	6849	3435
666	6859	3424
667	6869	3414
668	6878	3403
669	6888	3392
670	6897	3381
671	6907	3371
672	6917	3361
673	6929	3351
674	6940	3341
675	6949	3330
676	6958	3320
677	6968	3309
678	6977	3298
679	6987	3288
680	6996	3277
681	7006	3266
682	7016	3256
683	7025	3245
684	7034	3235
685	7044	3224
686	7053	3213
687	7062	3202
688	7073	3192
689	7082	3181
690	7092	3171
691	7101	3160
692	7111	3150
693	7121	3139
694	7130	3129
695	7140	3118
696	7150	3108
697	7160	3097
698	7169	3087
699	7179	3076
700	7188	3066
701	7198	3055
702	7207	3045
703	7218	3034
704	7227	3024
705	7236	3013
706	7246	3002
707	7256	2992
708	7266	2982
709	7275	2971
710	7284	2960
711	7294	2950
712	7304	2940
713	7313	2929
714	7323	2919
715	7333	2908
716	7343	2898
717	7352	2887
718	7362	2877
719	7371	2866
720	7381	2856
721	7390	2845
722	7400	2835
723	7410	2824
724	7419	2814
725	7429	2803
726	7439	2793
727	7448	2782
728	7458	2772
729	7467	2762
730	7477	2751
731	7487	2741
732	7497	2730
733	7506	2720
734	7516	2710
735	7526	2699
736	7537	2689
737	7547	2679
738	7558	2669
739	7568	2659
740	7578	2648
741	7588	2638
742	7597	2628
743	7607	2617
744	7617	2607
745	7626	2596
746	7636	2586
747	7646	2576
748	7656	2565
749	7665	2555
750	7675	2544
751	7685	2534
752	7695	2524
753	7706	2514
754	7716	2504
755	7726	2493
756	7736	2483
757	7745	2472
758	7754	2462
759	7764	2451
760	7773	2441
761	7783	2430
762	7792	2420
763	7802	2410
764	7811	2399
765	7820	2388
766	7830	2378
767	7839	2368
768	7849	2357
769	7858	2347
770	7868	2336
771	7877	2326
772	7887	2316
773	7896	2305
774	7906	2295
775	7916	2285
776	7926	2274
777	7935	2264
778	7944	2253
779	7954	2243
780	7963	2233
781	7973	2222
782	7982	2212
783	7991	2201
784	8000	2191
785	8010	2180
786	8019	2170
787	8028	2160
788	8038	2149
789	8048	2139
790	8058	2129
791	8067	2118
792	8077	2108
793	8087	2098
794	8096	2087
795	8106	2077
796	8116	2067
797	8126	2057
798	8136	2046
799	8146	2036
800	8156	2026
801	8166	2016
802	8175	2005
803	8184	1995
804	8194	1985
805	8204	1974
806	8213	1964
807	8223	1954
808	8232	1943
809	8242	1933
810	8252	1923
811	8261	1912
812	8270	1902
813	8280	1892
814	8289	1881
815	8299	1871
816	8309	1861
817	8319	1851
818	8329	1840
819	8338	1830
820	8347	1820
821	8358	1809
822	8367	1799
823	8377	1789
824	8386	1778
825	8396	1768
826	8406	1758
827	8415	1748
828	8424	1737
829	8434	1727
830	8443	1717
831	8453	1706
832	8463	1696
833	8472	1686
834	8481	1676
835	8491	1665
